text_id,text_domain,qid,biology students,physics students,qtype
b0,biology,bq_1,71.0,22.0,BQ
b0,biology,bq_2,50.0,25.0,BQ
b0,biology,bq_3,52.0,31.0,BQ
b0,biology,tq_1,60.0,34.0,TQ
b0,biology,tq_2,93.0,66.0,TQ
b0,biology,tq_3,64.0,12.0,TQ
b1,biology,bq_1,12.0,6.0,BQ
b1,biology,bq_2,29.0,52.0,BQ
b1,biology,bq_3,45.0,58.0,BQ
b1,biology,tq_1,100.0,74.0,TQ
b1,biology,tq_2,71.0,52.0,TQ
b1,biology,tq_3,67.0,58.0,TQ
b2,biology,bq_1,53.0,47.0,BQ
b2,biology,bq_2,91.0,78.0,BQ
b2,biology,bq_3,91.0,50.0,BQ
b2,biology,tq_1,95.0,88.0,TQ
b2,biology,tq_2,79.0,88.0,TQ
b2,biology,tq_3,79.0,88.0,TQ
b3,biology,bq_1,68.0,59.0,BQ
b3,biology,bq_2,27.0,25.0,BQ
b3,biology,bq_3,61.0,69.0,BQ
b3,biology,tq_1,61.0,44.0,TQ
b3,biology,tq_2,78.0,66.0,TQ
b3,biology,tq_3,93.0,69.0,TQ
b4,biology,bq_1,74.0,50.0,BQ
b4,biology,bq_2,60.0,12.0,BQ
b4,biology,bq_3,58.0,62.0,BQ
b4,biology,tq_1,65.0,31.0,TQ
b4,biology,tq_2,81.0,72.0,TQ
b4,biology,tq_3,100.0,88.0,TQ
b5,biology,bq_1,45.0,26.0,BQ
b5,biology,bq_2,74.0,35.0,BQ
b5,biology,bq_3,38.0,10.0,BQ
b5,biology,tq_1,83.0,81.0,TQ
b5,biology,tq_2,76.0,77.0,TQ
b5,biology,tq_3,79.0,35.0,TQ
p0,physics,bq_1,16.0,50.0,BQ
p0,physics,bq_2,30.0,17.0,BQ
p0,physics,bq_3,21.0,23.0,BQ
p0,physics,tq_1,47.0,67.0,TQ
p0,physics,tq_2,19.0,67.0,TQ
p0,physics,tq_3,33.0,63.0,TQ
p1,physics,bq_1,31.0,53.0,BQ
p1,physics,bq_2,40.0,50.0,BQ
p1,physics,bq_3,19.0,25.0,BQ
p1,physics,tq_1,19.0,34.0,TQ
p1,physics,tq_2,38.0,69.0,TQ
p1,physics,tq_3,21.0,53.0,TQ
p2,physics,bq_1,23.0,38.0,BQ
p2,physics,bq_2,26.0,28.0,BQ
p2,physics,bq_3,35.0,53.0,BQ
p2,physics,tq_1,70.0,44.0,TQ
p2,physics,tq_2,51.0,62.0,TQ
p2,physics,tq_3,63.0,78.0,TQ
p3,physics,bq_1,28.0,38.0,BQ
p3,physics,bq_2,26.0,31.0,BQ
p3,physics,bq_3,58.0,69.0,BQ
p3,physics,tq_1,60.0,88.0,TQ
p3,physics,tq_2,72.0,81.0,TQ
p3,physics,tq_3,74.0,72.0,TQ
p4,physics,bq_1,29.0,72.0,BQ
p4,physics,bq_2,14.0,22.0,BQ
p4,physics,bq_3,5.0,19.0,BQ
p4,physics,tq_1,71.0,94.0,TQ
p4,physics,tq_2,62.0,53.0,TQ
p4,physics,tq_3,55.0,22.0,TQ
p5,physics,bq_1,21.0,10.0,BQ
p5,physics,bq_2,7.0,16.0,BQ
p5,physics,bq_3,35.0,23.0,BQ
p5,physics,tq_1,56.0,87.0,TQ
p5,physics,tq_2,33.0,48.0,TQ
p5,physics,tq_3,88.0,97.0,TQ
